"","자치구","행정동","전체세대수","1인세대"
"278","양천구","신월5동",6398.83333333333,2062.33333333333
"279","양천구","신월6동",2591.5,695.666666666667
"280","양천구","신월7동",9339.08333333333,2833
"281","양천구","신정1동",7254.58333333333,1409.25
"282","양천구","신정2동",7212,1551.66666666667
"283","양천구","신정3동",17874.4166666667,4179.25
"284","양천구","신정4동",15898.5833333333,6367
"285","양천구","신정6동",8166.83333333333,987.833333333333
"286","양천구","신정7동",11229.9166666667,2725.91666666667
"287","서대문구","신촌동",11819.1666666667,8578.66666666667
"288","도봉구","쌍문1동",9128.83333333333,2945.66666666667
"289","도봉구","쌍문2동",8623,2879.16666666667
"290","도봉구","쌍문3동",7652.33333333333,2923.91666666667
"291","도봉구","쌍문4동",7174.5,1489.41666666667
"292","마포구","아현동",10256.1666666667,3183.41666666667
"293","성북구","안암동",8760.75,5471.08333333333
"294","강동구","암사1동",16309.8333333333,6094
"295","강동구","암사2동",5895.75,1790.58333333333
"296","강동구","암사3동",6321.66666666667,1025.41666666667
"297","강남구","압구정동",10720.6666666667,2943.41666666667
"298","중구","약수동",7800.25,2765.16666666667
"299","서초구","양재1동",18321.4166666667,5845
"300","서초구","양재2동",11001.9166666667,4971.75
"301","영등포구","양평1동",8272.75,3839.16666666667
"302","영등포구","양평2동",9624.08333333333,3761.25
"303","영등포구","여의동",12075.6666666667,3274.66666666667
"304","강남구","역삼1동",22896.9166666667,15977.25
"305","강남구","역삼2동",14931.5833333333,5811.58333333333
"306","은평구","역촌동",20769.1666666667,7032
"307","마포구","연남동",8743.25,4702.08333333333
"308","서대문구","연희동",18577.9166666667,9423.58333333333
"309","마포구","염리동",5159.08333333333,2389.66666666667
"310","강서구","염창동",14464.9166666667,3048.83333333333
"311","영등포구","영등포동",15477.9166666667,10430.9166666667
"312","영등포구","영등포본동",10336.9166666667,4235.66666666667
"313","송파구","오금동",15077.3333333333,4004
"314","구로구","오류1동",10374.6666666667,4694.41666666667
"315","구로구","오류2동",16732.9166666667,4435.75
"316","송파구","오륜동",6021.16666666667,648.166666666667
"317","성동구","옥수동",10954.8333333333,3103.25
"318","성동구","왕십리2동",7675.91666666667,2915.91666666667
"319","성동구","왕십리도선동",11549.0833333333,4159.83333333333
"320","마포구","용강동",9116.75,3104.41666666667
"321","성동구","용답동",8023.16666666667,4385
"322","용산구","용문동",5337.08333333333,1852.66666666667
"323","용산구","용산2가동",5535.83333333333,2781.66666666667
"324","동대문구","용신동",16405.4166666667,9262.25
"325","강북구","우이동",9450.83333333333,3415.58333333333
"326","강서구","우장산동",16514.6666666667,3785.66666666667
"327","용산구","원효로1동",7219.58333333333,3265.25
"328","용산구","원효로2동",6034.41666666667,1983.08333333333
"329","노원구","월계1동",10450.6666666667,4265.83333333333
"330","노원구","월계2동",11255.0833333333,3665.25
"331","노원구","월계3동",13005.9166666667,3510.91666666667
"332","성북구","월곡1동",10748.5,3088.33333333333
"333","성북구","월곡2동",8860.25,3639.25
"334","송파구","위례동",9096.33333333333,1078.33333333333
"335","관악구","은천동",15455.0833333333,6036.33333333333
"336","중구","을지로동",1211.08333333333,953.75
"337","성동구","응봉동",6230.83333333333,1645.75
"338","은평구","응암1동",11242.4166666667,4473.5
"339","은평구","응암2동",8344.5,2438.75
"340","은평구","응암3동",12436.5,5535.91666666667
"341","동대문구","이문1동",13815.25,7725.58333333333
"342","동대문구","이문2동",8687,2773.75
"343","용산구","이촌1동",10158.8333333333,2209.41666666667
"344","용산구","이촌2동",3858.66666666667,1269.83333333333
"345","용산구","이태원1동",3866.83333333333,2232.33333333333
"346","용산구","이태원2동",4933.83333333333,2605.91666666667
"347","종로구","이화동",4494.83333333333,2641
"348","강북구","인수동",14351.1666666667,5313.08333333333
"349","관악구","인헌동",13866.25,7269
"350","강남구","일원1동",7583.08333333333,3012.25
"351","강남구","일원2동",6558.33333333333,1990.91666666667
"352","강남구","일원본동",8306.41666666667,1528.16666666667
"353","광진구","자양1동",11356.1666666667,5368.25
"354","광진구","자양2동",11261.25,3827.66666666667
"355","광진구","자양3동",11053,2735
"356","광진구","자양4동",10222,5232.66666666667
"357","송파구","잠실2동",12055.4166666667,1901.75
"358","송파구","잠실3동",12394.3333333333,2050.16666666667
"359","송파구","잠실4동",10414.3333333333,1780.33333333333
"360","송파구","잠실6동",5905.41666666667,946.5
"361","송파구","잠실7동",3491.83333333333,493.333333333333
"362","송파구","잠실본동",14516.3333333333,7269.75
"363","서초구","잠원동",13936.9166666667,4617.25
"364","동대문구","장안1동",17126.75,6877.58333333333
"365","동대문구","장안2동",12640.4166666667,4186.16666666667
"366","성북구","장위1동",8978.33333333333,3224.83333333333
"367","성북구","장위2동",7173.66666666667,2730.66666666667
"368","성북구","장위3동",4871.16666666667,1711.66666666667
"369","송파구","장지동",13384.5,3589.91666666667
"370","중구","장충동",2652.66666666667,1607
"371","동대문구","전농1동",14304.3333333333,6740
"372","동대문구","전농2동",7670.25,2059.75
"373","성북구","정릉1동",7036.75,2029.33333333333
"374","성북구","정릉2동",9634.5,2915.25
"375","성북구","정릉3동",7584,3722.25
"376","성북구","정릉4동",11036.25,3553.58333333333
"377","동대문구","제기동",12749.5833333333,6588.25
"378","관악구","조원동",10020.75,6015
"379","종로구","종로1.2.3.4가동",5322.25,4176.58333333333
"380","종로구","종로5·6가동",3161.58333333333,2066.41666666667
"381","성북구","종암동",17027,6106.75
"382","노원구","중계1동",9134.66666666667,1392.5
"383","노원구","중계2.3동",15502,4662.58333333333
"384","노원구","중계4동",8457.75,2359.83333333333
"385","노원구","중계본동",9243.5,2134
"386","광진구","중곡1동",7819.75,3602.08333333333
"387","광진구","중곡2동",10225.4166666667,4228.83333333333
"388","광진구","중곡3동",8430.91666666667,3755.16666666667
"389","광진구","중곡4동",13175.8333333333,4680
"390","중구","중림동",5696.58333333333,2427.33333333333
"391","관악구","중앙동",8862.83333333333,5530.25
"392","중랑구","중화1동",8830.16666666667,3034.58333333333
"393","중랑구","중화2동",14292.4166666667,7106.16666666667
"394","은평구","증산동",6928.41666666667,2398.91666666667
"395","은평구","진관동",20049.1666666667,5074.25
"396","도봉구","창1동",10902,3389.58333333333
"397","도봉구","창2동",12380.75,3548.08333333333
"398","도봉구","창3동",6668.25,2471.08333333333
"399","도봉구","창4동",10562.3333333333,2642.08333333333
"400","도봉구","창5동",9890.5,2491.08333333333
"401","종로구","창신1동",3018.5,1766.5
"402","종로구","창신2동",4221.91666666667,1951.33333333333
"403","종로구","창신3동",2876.66666666667,847.416666666667
"404","서대문구","천연동",8314.58333333333,3314.58333333333
"405","강동구","천호1동",12923.5,5026.83333333333
"406","강동구","천호2동",17583,8271.83333333333
"407","강동구","천호3동",13454.4166666667,6208
"408","중구","청구동",6455.16666666667,2439.58333333333
"409","강남구","청담동",12239.1666666667,4373.5
"410","동대문구","청량리동",10520.6666666667,4825.16666666667
"411","관악구","청룡동",17874.1666666667,12402.3333333333
"412","관악구","청림동",6606.91666666667,1957.5
