"자치구","행정동","전체세대수","X1인세대","1인세대_2"
"양천구","신정4동",15898.58333,6367,2469.03282230542
"양천구","신정6동",8166.833333,987.8333333,-2910.13384439458
"양천구","신정7동",11229.91667,2725.916667,-1172.05051069458
"서대문구","신촌동",11819.16667,8578.666667,4680.69948930542
"도봉구","쌍문1동",9128.833333,2945.666667,-952.300510694576
"도봉구","쌍문2동",8623,2879.166667,-1018.80051069458
"도봉구","쌍문3동",7652.333333,2923.916667,-974.050510694576
"도봉구","쌍문4동",7174.5,1489.416667,-2408.55051069458
"마포구","아현동",10256.16667,3183.416667,-714.550510694576
"성북구","안암동",8760.75,5471.083333,1573.11615530542
"강동구","암사1동",16309.83333,6094,2196.03282230542
"강동구","암사2동",5895.75,1790.583333,-2107.38384469458
"강동구","암사3동",6321.666667,1025.416667,-2872.55051069458
"강남구","압구정동",10720.66667,2943.416667,-954.550510694576
"중구","약수동",7800.25,2765.166667,-1132.80051069458
"서초구","양재1동",18321.41667,5845,1947.03282230542
"서초구","양재2동",11001.91667,4971.75,1073.78282230542
"영등포구","양평1동",8272.75,3839.166667,-58.8005106945757
"영등포구","양평2동",9624.083333,3761.25,-136.717177694576
"영등포구","여의동",12075.66667,3274.666667,-623.300510694576
"강남구","역삼1동",22896.91667,15977.25,12079.2828223054
"강남구","역삼2동",14931.58333,5811.583333,1913.61615530542
"은평구","역촌동",20769.16667,7032,3134.03282230542
"마포구","연남동",8743.25,4702.083333,804.116155305424
"서대문구","연희동",18577.91667,9423.583333,5525.61615530542
"마포구","염리동",5159.083333,2389.666667,-1508.30051069458
"강서구","염창동",14464.91667,3048.833333,-849.133844694576
"영등포구","영등포동",15477.91667,10430.91667,6532.94949230542
"영등포구","영등포본동",10336.91667,4235.666667,337.699489305425
"송파구","오금동",15077.33333,4004,106.032822305424
"구로구","오류1동",10374.66667,4694.416667,796.449489305425
"구로구","오류2동",16732.91667,4435.75,537.782822305424
"송파구","오륜동",6021.166667,648.1666667,-3249.80051099458
"성동구","옥수동",10954.83333,3103.25,-794.717177694576
"성동구","왕십리2동",7675.916667,2915.916667,-982.050510694576
"성동구","왕십리도선동",11549.08333,4159.833333,261.866155305424
"마포구","용강동",9116.75,3104.416667,-793.550510694576
"성동구","용답동",8023.166667,4385,487.032822305424
"용산구","용문동",5337.083333,1852.666667,-2045.30051069458
"용산구","용산2가동",5535.833333,2781.666667,-1116.30051069458
"동대문구","용신동",16405.41667,9262.25,5364.28282230542
"강북구","우이동",9450.833333,3415.583333,-482.383844694576
"강서구","우장산동",16514.66667,3785.666667,-112.300510694576
"용산구","원효로1동",7219.583333,3265.25,-632.717177694576
"용산구","원효로2동",6034.416667,1983.083333,-1914.88384469458
